usuarioid;bicicletaid;origenfecha;origenestacionid;origennombre;destinofecha;destinoestacionid;destinonombre;tiempouso
68106;1407;2013-01-02 08:14:14.357;33;ARENALES;2013-01-02 08:27:42.717;6;DERECHO;13
42464;600;2013-01-02 08:14:16.233;3;RETIRO;2013-01-02 08:26:10.543;24;PLAZA DE MAYO;12
20431;571;2013-01-02 08:14:24.467;19;PLAZA VICENTE LOPEZ;2013-01-02 08:23:25.31;23;PLAZA HOUSSAY;9
65066;1348;2013-01-02 08:14:29.793;21;PACIFICO;2013-01-02 08:46:34.06;24;PLAZA DE MAYO;32
68805;1221;2013-01-02 08:14:35.233;27;INDEPENDENCIA;2013-01-02 08:29:06.89;5;ADUANA;15
35635;1195;2013-01-02 08:14:37.903;15;CONGRESO;2013-01-02 08:15:02.153;15;CONGRESO;0
52892;347;2013-01-02 08:14:44.687;22;VIRREY CEVALLOS;2013-01-02 08:42:34.403;7;PLAZA ROMA;28
67429;752;2013-01-02 08:14:52.28;33;ARENALES;2013-01-02 08:21:20.997;19;PLAZA VICENTE LOPEZ;6
23767;172;2013-01-02 08:15:21.5;3;RETIRO;2013-01-02 08:41:09.67;16;PARQUE LAS HERAS;26
69331;1406;2013-01-02 08:15:23.42;5;ADUANA;2013-01-02 08:57:34.983;8;PLAZA ITALIA;42
35635;408;2013-01-02 08:15:47.92;15;CONGRESO;2013-01-02 08:24:23.297;18;TRIBUNALES;9
69228;1050;2013-01-02 08:16:24.42;36;EMMA DE LA BARRA;2013-01-02 08:27:25.56;34;SUIPACHA;11
40380;903;2013-01-02 08:16:54.84;16;PARQUE LAS HERAS;2013-01-02 08:37:26.45;3;RETIRO;21
39551;860;2013-01-02 08:17:07.64;3;RETIRO;2013-01-02 08:30:49.873;24;PLAZA DE MAYO;14
25732;1507;2013-01-02 08:17:08.31;21;PACIFICO;2013-01-02 08:45:58.92;7;PLAZA ROMA;29
63944;322;2013-01-02 08:18:37.687;3;RETIRO;2013-01-02 08:30:36.217;36;EMMA DE LA BARRA;12
44580;78;2013-01-02 08:18:42.733;19;PLAZA VICENTE LOPEZ;2013-01-02 08:22:32.92;33;ARENALES;4
64414;325;2013-01-02 08:18:44.327;3;RETIRO;2013-01-02 08:30:23.013;36;EMMA DE LA BARRA;12
4589;1194;2013-01-02 08:18:48.483;30;DISTRITO AUDIOVISUAL;2013-01-02 08:46:44.56;3;RETIRO;28
57891;1019;2013-01-02 08:19:09.373;22;VIRREY CEVALLOS;2013-01-02 08:45:45.95;36;EMMA DE LA BARRA;27
50635;1003;2013-01-02 08:19:20.217;34;SUIPACHA;2013-01-02 08:53:51.827;8;PLAZA ITALIA;35
43912;98;2013-01-02 08:19:28.53;3;RETIRO;2013-01-02 09:14:20.187;10;OBELISCO;55
24803;528;2013-01-02 08:19:35.11;16;PARQUE LAS HERAS;2013-01-02 08:47:38.653;7;PLAZA ROMA;28
20422;532;2013-01-02 08:19:40.34;22;VIRREY CEVALLOS;2013-01-02 09:01:53.827;10;OBELISCO;42
55860;1068;2013-01-02 08:20:04.153;21;PACIFICO;2013-01-02 08:38:44.233;6;DERECHO;19
70019;1383;2013-01-02 08:20:12.187;3;RETIRO;2013-01-02 08:31:03.06;36;EMMA DE LA BARRA;11
30270;1356;2013-01-02 08:20:36.28;16;PARQUE LAS HERAS;2013-01-02 08:37:10.873;3;RETIRO;17
42739;713;2013-01-02 08:20:38.293;20;ONCE;2013-01-02 08:49:58.123;8;PLAZA ITALIA;29
52252;1355;2013-01-02 08:20:40.607;24;PLAZA DE MAYO;2013-01-02 08:32:20.937;15;CONGRESO;12
49160;933;2013-01-02 08:21:05.623;19;PLAZA VICENTE LOPEZ;2013-01-02 08:30:53.95;3;RETIRO;10
71130;1001;2013-01-02 08:21:06.233;23;PLAZA HOUSSAY;2013-01-02 08:24:07.733;23;PLAZA HOUSSAY;3
46217;314;2013-01-02 08:21:12.623;27;INDEPENDENCIA;2013-01-02 08:28:48.64;24;PLAZA DE MAYO;8
40269;993;2013-01-02 08:21:50.327;3;RETIRO;2013-01-02 08:30:50.687;34;SUIPACHA;9
63268;638;2013-01-02 08:21:51.86;16;PARQUE LAS HERAS;2013-01-02 08:36:53.983;6;DERECHO;15
52014;1235;2013-01-02 08:21:54.513;15;CONGRESO;2013-01-02 08:44:45.873;17;UCA PUERTO MADERO;23
57893;801;2013-01-02 08:22:27.75;3;RETIRO;2013-01-02 08:34:01.687;36;EMMA DE LA BARRA;12
41332;380;2013-01-02 08:22:35.827;25;PLAZA ALMAGRO;2013-01-02 08:45:12.843;24;PLAZA DE MAYO;23
25379;139;2013-01-02 08:22:36.293;27;INDEPENDENCIA;2013-01-02 08:34:48.31;7;PLAZA ROMA;12
52013;1146;2013-01-02 08:22:58.64;15;CONGRESO;2013-01-02 08:44:59.06;17;UCA PUERTO MADERO;22
25652;546;2013-01-02 08:23:03.983;25;PLAZA ALMAGRO;2013-01-02 08:53:55.903;24;PLAZA DE MAYO;31
47806;598;2013-01-02 08:23:10.293;3;RETIRO;2013-01-02 09:14:37.717;5;ADUANA;51
66133;1589;2013-01-02 08:23:42.047;27;INDEPENDENCIA;2013-01-02 08:33:41.577;10;OBELISCO;10
56415;511;2013-01-02 08:23:43.717;3;RETIRO;2013-01-02 08:37:32.733;5;ADUANA;14
67227;1351;2013-01-02 08:23:53.077;30;DISTRITO AUDIOVISUAL;2013-01-02 09:00:40.733;34;SUIPACHA;37
67507;1200;2013-01-02 08:24:03.2;32;PARQUE PATRICIOS ;2013-01-02 08:43:10.53;15;CONGRESO;19
58939;821;2013-01-02 08:24:08.17;9;PARQUE LEZAMA;2013-01-02 08:55:48.107;33;ARENALES;32
54565;618;2013-01-02 08:24:09.56;22;VIRREY CEVALLOS;2013-01-02 08:48:01.733;36;EMMA DE LA BARRA;24
71130;571;2013-01-02 08:24:36.06;23;PLAZA HOUSSAY;2013-01-02 08:41:08.78;35;ALSINA ;17
27876;1166;2013-01-02 08:24:38.53;22;VIRREY CEVALLOS;2013-01-02 08:43:17.14;7;PLAZA ROMA;19
55182;1487;2013-01-02 08:24:55.403;9;PARQUE LEZAMA;2013-01-02 08:39:53.56;7;PLAZA ROMA;15
54801;282;2013-01-02 08:24:57.89;25;PLAZA ALMAGRO;2013-01-02 08:44:48.467;15;CONGRESO;20
66388;913;2013-01-02 08:25:05.997;3;RETIRO;2013-01-02 08:36:29.17;36;EMMA DE LA BARRA;11
43577;1433;2013-01-02 08:25:41.67;6;DERECHO;2013-01-02 08:35:01.86;3;RETIRO;9
69392;1585;2013-01-02 08:25:54.043;3;RETIRO;2013-01-02 08:34:57.997;36;EMMA DE LA BARRA;9
69156;385;2013-01-02 08:26:23.843;35;ALSINA ;2013-01-02 08:41:22.747;7;PLAZA ROMA;15
66464;1038;2013-01-02 08:26:51.06;9;PARQUE LEZAMA;2013-01-02 08:51:01.56;34;SUIPACHA;24
62799;1509;2013-01-02 08:27:00.34;23;PLAZA HOUSSAY;2013-01-02 08:38:40.983;28;PLAZA SAN MARTIN;12
60125;495;2013-01-02 08:27:20.343;3;RETIRO;2013-01-02 08:40:42.607;24;PLAZA DE MAYO;13
44783;1073;2013-01-02 08:27:32.78;21;PACIFICO;2013-01-02 09:07:54.547;24;PLAZA DE MAYO;40
39903;885;2013-01-02 08:27:33.687;25;PLAZA ALMAGRO;2013-01-02 08:48:31.06;24;PLAZA DE MAYO;21
69976;311;2013-01-02 08:27:53.873;3;RETIRO;2013-01-02 08:39:04.013;36;EMMA DE LA BARRA;11
69774;59;2013-01-02 08:28:09.373;8;PLAZA ITALIA;2013-01-02 08:54:56.11;3;RETIRO;27
68106;1279;2013-01-02 08:28:42.077;6;DERECHO;2013-01-02 09:01:56.56;6;DERECHO;33
49184;1082;2013-01-02 08:29:11.403;27;INDEPENDENCIA;2013-01-02 08:37:16.84;15;CONGRESO;8
42545;1421;2013-01-02 08:29:36.403;21;PACIFICO;2013-01-02 09:07:54.247;34;SUIPACHA;38
66720;967;2013-01-02 08:29:41.14;3;RETIRO;2013-01-02 08:38:20.92;36;EMMA DE LA BARRA;9
54861;875;2013-01-02 08:30:26.39;25;PLAZA ALMAGRO;2013-01-02 08:51:19.217;34;SUIPACHA;21
36739;639;2013-01-02 08:30:34.343;25;PLAZA ALMAGRO;2013-01-02 09:01:14.873;34;SUIPACHA;31
39811;510;2013-01-02 08:30:45.11;27;INDEPENDENCIA;2013-01-02 08:42:03.467;34;SUIPACHA;11
43732;1136;2013-01-02 08:31:58.827;5;ADUANA;2013-01-02 08:59:36.483;18;TRIBUNALES;28
68043;1050;2013-01-02 08:32:04.357;34;SUIPACHA;2013-01-02 08:42:21.28;24;PLAZA DE MAYO;10
59899;1125;2013-01-02 08:32:05.373;3;RETIRO;2013-01-02 08:46:46.327;17;UCA PUERTO MADERO;15
61464;1338;2013-01-02 08:32:06.403;25;PLAZA ALMAGRO;2013-01-02 08:46:57.81;15;CONGRESO;15
40531;1234;2013-01-02 08:32:16.123;22;VIRREY CEVALLOS;2013-01-02 08:40:27.64;15;CONGRESO;8
